"ALL_RATE_1112";"leanm11";"STNAM";"LONGITUDE";"LATITUDE";"leaid11";"ALL_COHORT_1112";"pct_Not_HS_Grad_ACS_08_12";"pct_Civ_emp_25_44_ACS_08_12"
83.0;"Albertville City";"ALABAMA";;;100005;268;43.23059989;92.45524297
79.0;"Marshall County";"ALABAMA";;;100006;424;33.9461419;92.73584906
91.0;"Hoover City";"ALABAMA";;;100007;1042;3.310344828;95.14978602
91.0;"Madison City";"ALABAMA";;;100008;836;8.981001727;96.73691366
74.0;"Leeds City";"ALABAMA";;;100011;117;19.3495935;66.92111959
94.0;"Boaz City";"ALABAMA";;;100012;155;17.43542435;96.2962963
93.0;"Trussville City";"ALABAMA";;;100013;300;5.377329667;94.37086093
78.0;"Alexander City";"ALABAMA";;;100030;289;23.37602928;94.13265306
79.0;"Andalusia City";"ALABAMA";;;100060;109;32.57219611;87.34835355
65.0;"Anniston City";"ALABAMA";;;100090;207;17.50814332;86.71532847
94.0;"Arab City";"ALABAMA";;;100100;190;14.91841492;86.00311042
87.0;"Athens City";"ALABAMA";;;100120;225;7.095880928;90.01097695
63.0;"Attalla City";"ALABAMA";;;100180;224;28.28965906;81.64313222
79.0;"Saraland City";"ALABAMA";;;100185;164;21.85741088;80.82368082
88.0;"Auburn City";"ALABAMA";;;100210;489;1.639344262;100.0
81.0;"Autauga County";"ALABAMA";;;100240;768;5.196032121;98.28703704
74.0;"Baldwin County";"ALABAMA";;;100270;2321;10.07587253;97.32142857
64.0;"Barbour County";"ALABAMA";;;100300;81;24.24489796;97.36842105
40.0;"Bessemer City";"ALABAMA";;;100330;404;23.579719;78.43137255
80.0;"Bibb County";"ALABAMA";;;100360;268;31.7924842;85.2
56.0;"Birmingham City";"ALABAMA";;;100390;2417;14.6694759;77.72756617
83.0;"Blount County";"ALABAMA";;;100420;630;37.56708408;93.51005485
89.0;"Brewton City";"ALABAMA";;;100450;95;20.18745494;88.05970149
74.0;"Bullock County";"ALABAMA";;;100480;170;35.80246914;99.10447761
66.0;"Butler County";"ALABAMA";;;100510;307;29.24477772;74.63917526
81.0;"Calhoun County";"ALABAMA";;;100540;704;29.64475296;85.17441861
76.0;"Chambers County";"ALABAMA";;;100600;303;26.10778443;94.74393531
74.0;"Cherokee County";"ALABAMA";;;100630;305;17.57151197;92.96781883
76.0;"Chilton County";"ALABAMA";;;100660;568;18.00318641;94.99381953
79.0;"Choctaw County";"ALABAMA";;;100690;133;27.09190672;89.0625
67.0;"Clarke County";"ALABAMA";;;100720;293;21.75226586;84.72222222
79.0;"Clay County";"ALABAMA";;;100750;171;21.71983356;79.47470817
89.0;"Cleburne County";"ALABAMA";;;100780;208;25.51918339;93.94261424
94.0;"Coffee County";"ALABAMA";;;100810;161;22.86764706;96.27039627
63.0;"Colbert County";"ALABAMA";;;100840;267;24.77844736;84.27299703
84.0;"Conecuh County";"ALABAMA";;;100870;139;21.49390244;64.62585034
79.0;"Coosa County";"ALABAMA";;;100900;92;31.10081938;84.23423423
81.0;"Covington County";"ALABAMA";;;100930;237;18.71713985;78.56
94.0;"Crenshaw County";"ALABAMA";;;100960;174;23.13364055;96.20596206
93.0;"Cullman City";"ALABAMA";;;100990;231;16.31075111;90.96459097
80.0;"Cullman County";"ALABAMA";;;101020;776;26.39641763;89.80291345
80.0;"Dale County";"ALABAMA";;;101050;219;13.80449141;100.0
89.0;"Daleville City";"ALABAMA";;;101080;86;7.763975155;86.41025641
71.0;"Dallas County";"ALABAMA";;;101110;327;18.56540084;99.17127072
81.0;"Dekalb County";"ALABAMA";;;101140;609;28.79225062;90.11857708
71.0;"Decatur City";"ALABAMA";;;101170;712;24.55187398;96.38554217
88.0;"Demopolis City";"ALABAMA";;;101200;205;16.60013307;92.02380952
87.0;"Dothan City";"ALABAMA";;;101230;569;5.568312285;97.2
69.0;"Elba City";"ALABAMA";;;101260;69;24.637252;94.15041783
74.0;"Elmore County";"ALABAMA";;;101290;973;6.729411765;95.04600142
85.0;"Enterprise City";"ALABAMA";;;101320;522;20.09389671;95.08196721
74.0;"Escambia County";"ALABAMA";;;101350;326;28.87246853;79.90049751
82.0;"Etowah County";"ALABAMA";;;101380;663;26.82323857;96.17283951
72.0;"Eufaula City";"ALABAMA";;;101410;253;25.47468354;77.53246753
64.0;"Fairfield City";"ALABAMA";;;101440;195;10.51051051;88.91304348
79.0;"Fayette County";"ALABAMA";;;101470;176;25.46022925;87.29641694
84.0;"Florence City";"ALABAMA";;;101530;356;19.36233809;87.13745271
92.0;"Fort Payne City";"ALABAMA";;;101560;206;38.7667304;67.3046252
85.0;"Franklin County";"ALABAMA";;;101590;256;20.32908705;94.17249417
75.0;"Gadsden City";"ALABAMA";;;101620;393;18.10055866;82.08333333
94.0;"Geneva City";"ALABAMA";;;101640;96;21.8866056;84.56439394
79.0;"Geneva County";"ALABAMA";;;101660;232;21.04524728;92.04035874
64.0;"Greene County";"ALABAMA";;;101680;116;22.49661705;78.78338279
89.0;"Guntersville City";"ALABAMA";;;101690;135;24.37337943;99.45355191
71.0;"Hale County";"ALABAMA";;;101710;265;25.3147482;95.46783626
89.0;"Haleyville City";"ALABAMA";;;101720;135;41.0382322;82.923674
84.0;"Hartselle City";"ALABAMA";;;101730;249;17.22244017;87.93969849
70.0;"Henry County";"ALABAMA";;;101740;245;20.73017205;84.27419355
91.0;"Homewood City";"ALABAMA";;;101760;223;2.682701203;95.81395349
